Sector de actividade,CAE,Descrição do código da CAE,Nível de codificação,Distribuição do peso da divisão e grupo,Tipo de resultados,Categoria,Ano,Jan,Fev,Mar,Abr,Mai,Jun,Jul,Ago,Set,Out,Nov,Dez
Comércio,464,"Comércio por grosso de bens de consumo, excepto alimentares, bebidas e tabaco",Grupo,0,Índices,Volume de negócios,1989,85.1,113.2,156.2,177.6,93.2,154.5,120.8,170.5,98.4,141.8,175,129.6
Comércio,465,Comércio por grosso de máquinas e equipamentos e suas partes,Grupo,0,Índices,Volume de negócios,1989,101,174.2,106.5,159.2,155.9,128.4,80.8,142.4,122.6,114.3,177.2,177.2
Comércio,466,Outro comércio por grosso especializado,Grupo,0,Índices,Volume de negócios,1989,173.8,107.8,163.3,82,93.6,90.6,101.7,107.8,166.3,128,166.1,89.3
Comércio,469,Comércio por grosso não especializado,Grupo,0,Índices,Volume de negócios,1989,140.2,95.2,129.1,96.3,174.5,91.9,158.1,122.8,149.2,140.5,96.8,84.6
Comércio,471,Comércio a retalho em estabelecimentos não especializados ,Grupo,0,Índices,Volume de negócios,1989,149.5,140.7,122.5,110,174.8,83.3,159.6,88,91,117.4,155.2,179.1
Comércio,472,"Comércio a retalho de produtos alimentares, bebidas e tabaco em estabelecimentos especializados ",Grupo,0,Índices,Volume de negócios,1989,135.2,131.3,142,107.4,106.7,131.8,103,103.6,103.8,86.1,92.6,132.7
Comércio,473,Comércio a retalho de combustível para veículos a motor em estabelecimentos especializados,Grupo,0,Índices,Volume de negócios,1989,118.5,132.1,160,85.2,125.4,148.4,127.1,136.3,162.5,154.5,167.7,85.9
Comércio,474,Comércio a retalho de equipamento das tecnologias da informação e comunicações ( tic/ict) em estabelecimentos especializados ,Grupo,0,Índices,Volume de negócios,1989,130,156.1,93.7,102,177.3,141.4,88.1,128.7,150.3,107.1,146.9,176.7
Comércio,475,"Comércio a retalho de outro equipamento para uso doméstico, em estabelecimentos especializados",Grupo,0,Índices,Volume de negócios,1989,141.5,107.9,93.9,121.5,169.6,101.3,137.5,165.1,120.7,99,130.3,155.9
Comércio,476,Comércio a retalho de bens culturais e recreativos em estabelecimentos especializados ,Grupo,0,Índices,Volume de negócios,1989,88,152,106.5,146.3,83.6,143.2,100.9,172.4,95.4,161.4,174.6,178.2
Comércio,477,Comércio a retalho de outros produtos em estabelecimentos especializados ,Grupo,0,Índices,Volume de negócios,1989,142,99,172.6,162.9,167.3,130.1,147.1,148.8,100.5,150.1,163,160.4
Alojamento e restauração,551,Estabelecimentos hoteleiros,Grupo,0,Índices,Volume de negócios,1989,137.5,178.8,84.3,163.9,161.6,140.4,167.2,114.7,92.7,156,145.3,120.6
Alojamento e restauração,552,Parques de campismo e  de caravanismo e de outros locais de curta duração ,Grupo,0,Índices,Volume de negócios,1989,177.3,85.2,128.3,167.2,107,128,86.5,145,115.8,81.3,136.7,108.7
Alojamento e restauração,559,Outros locais de alojamento,Grupo,0,Índices,Volume de negócios,1989,134.6,150.6,92.1,152.7,125.6,160.9,126.6,143.6,141.3,83.2,168.6,114.8
Alojamento e restauração,561,Restaurantes e actividades de restauração em meios movéis ,Grupo,0,Índices,Volume de negócios,1989,162.8,115.5,160.1,87.5,87.3,97.7,111,97.1,166.5,142.4,153.2,159.1
Alojamento e restauração,562,Fornecimento de refeições  para eventos  e outras  actividades  de serviços de refeições ,Grupo,0,Índices,Volume de negócios,1989,104.8,83.1,169.2,81.9,175,146.2,127.5,139.4,141.7,134.8,125.2,121.3
Alojamento e restauração,563,Estabelecimentos de bebidas,Grupo,0,Índices,Volume de negócios,1989,164,86.2,179.5,118.9,156.2,93.5,116.3,113.1,98.7,91.3,145.2,144
Outros serviços,581,"Edição de livros, jornais e de outras publicações",Grupo,0,Índices,Volume de negócios,1989,126.3,154.1,174.5,117.7,111.8,133.6,86.4,164.9,158.7,108.2,157.5,159.4
Outros serviços,591,"Actividades cinematográficas, de vídeo e de  produção de programas de televisão ",Grupo,0,Índices,Volume de negócios,1989,174.4,152.5,162.6,137.4,158.1,161.6,137,98.2,110.5,156.6,107.9,162.9
Outros serviços,601,Actividades  de radio,Grupo,0,Índices,Volume de negócios,1989,82.1,159.4,165.1,128.4,143.8,129.4,178,141.1,144.3,107.6,94.9,97.6
Outros serviços,602,Actividades de televisão ,Grupo,0,Índices,Volume de negócios,1989,129.9,179.2,148.3,159.2,108.1,140.5,127.6,118.4,144.2,179,179.2,117.4
Outros serviços,611,Actividades de telecomunicações por  fio,Grupo,0,Índices,Volume de negócios,1989,93.3,165.1,102.2,129.2,177.1,177.3,172.4,142.7,123.4,148.9,161,107.1
Outros serviços,612,Actividades de telecomunicações sem  fio,Grupo,0,Índices,Volume de negócios,1989,106.8,131.2,109.5,96,148.3,166.6,162.3,134.7,157.4,148.8,155,167.8
Outros serviços,613,Actividades de telecomunicações por  satélite,Grupo,0,Índices,Volume de negócios,1989,99.9,99,111,82.3,92.9,130.5,153.9,168.2,102,91.4,166.2,116.9
Outros serviços,619,Outras actividades de telecomunicações ,Grupo,0,Índices,Volume de negócios,1989,164.2,148.9,174.1,149,156.8,150,147.7,98.6,104.4,129.2,138.4,84.5
Outros serviços,620,Consultoria e programação  informática actividades  relacionadas  ,Grupo,0,Índices,Volume de negócios,1989,136,101.9,140,91.4,103.2,168.4,81.4,104.9,168.1,135.2,120.8,177
Outros serviços,639,Outras actividades dos serviços de informação,Grupo,0,Índices,Volume de negócios,1989,165.1,175.8,180,170,80.6,119.2,121,92.8,180,112.6,161.6,166.4
Outros serviços,651,Seguros ,Grupo,0,Índices,Volume de negócios,1989,158.4,147.7,100.7,161,89.5,129.5,157.6,114.9,164.8,133.5,103.1,178.5
Outros serviços,681,Actividades imobiliarias por conta propria,Grupo,0,Índices,Volume de negócios,1989,82.3,169.5,165.5,157,158.2,109.1,177,125.5,99.1,149.8,107,106.4
Outros serviços,682,Actividades imobiliarias por conta de outrém,Grupo,0,Índices,Volume de negócios,1989,120.2,143,164.3,169.4,137.1,112.8,107.3,144.2,111.3,101,133.3,129
Outros serviços,691,Actividades juridicas,Grupo,0,Índices,Volume de negócios,1989,175.8,139.1,102.5,174.9,176.2,152.9,165,81.7,86.5,99,154.9,91.9
Outros serviços,692,"Actividades  de contabilidade e auditoria, consultoria fiscal",Grupo,0,Índices,Volume de negócios,1989,97.6,142.4,141,147.8,128.1,172.5,119.8,113,119.4,151.7,98.2,145.9
Outros serviços,701,Actividades das sedes sociais ,Grupo,0,Índices,Volume de negócios,1989,124.3,117.1,131,172.1,152.4,125.4,143.6,91.6,85.9,150,117.1,162.8
Outros serviços,702,Actividades de consultoria para os  negócios e a gestão,Grupo,0,Índices,Volume de negócios,1989,134.7,146.2,128,145.4,103.6,102.1,111.4,89,178.9,125.5,80.8,122.6
Outros serviços,711,"Actividades de arquitetura, de engenharia e técnicas afins",Grupo,0,Índices,Volume de negócios,1989,149.8,113.8,149.1,103.2,100.3,149.4,121.6,83.8,161.9,117.7,165.7,168.1
Outros serviços,731,Publicidade,Grupo,0,Índices,Volume de negócios,1989,92.4,81.5,107.1,113,152.3,177,88,173.4,110.9,113.2,157.6,100.1
Outros serviços,732,Estudos de mercado e sondagens de opnião,Grupo,0,Índices,Volume de negócios,1989,81.7,109.2,80.1,151.6,85.2,91.6,89.2,155.8,101.4,103.4,158.9,129
Outros serviços,742,Actividades fotográficas,Grupo,0,Índices,Volume de negócios,1989,85.1,151.3,141.5,170.2,110.1,135.2,80.7,154,144.3,128.7,120.6,164.5
Outros serviços,749,"Outras actividades de consultoria,cíentificas, técnicas e similares, n.e.",Grupo,0,Índices,Volume de negócios,1989,175.6,166.8,131.6,154.9,135.2,96,163.2,142,124.1,109.4,95.1,118.1
Outros serviços,750,Actividades veterínarias,Grupo,0,Índices,Volume de negócios,1989,85.7,142.4,133.3,149.7,117,121.6,81.9,142.9,98.3,105.1,113.2,99.1
Outros serviços,771, aluguer  de veículos automóveis,Grupo,0,Índices,Volume de negócios,1989,106.7,156.4,94.3,86.7,178.4,153.2,174.4,158.7,110.2,117.2,119.4,136.9
Outros serviços,773,"Aluguer de outras maquinas, equipamentos  ( sem operador) ",Grupo,0,Índices,Volume de negócios,1989,174.6,90.8,130.5,94.4,176.6,150.9,97,109.6,145.7,127.1,84,87.5
Outros serviços,791,Agências de viagem e  operadores turísticos ,Grupo,0,Índices,Volume de negócios,1989,145.7,100.2,94.3,124.1,112.8,115,175.8,106.7,122.5,88.3,133.3,118.2
Outros serviços,801,Actividade de segurança privada ,Grupo,0,Índices,Volume de negócios,1989,173.2,160.3,173.7,124.4,137.5,154,123.2,110,81.6,109.4,100,81.1
Outros serviços,802,Actividades relacionados com   sistemas  de segurança  ,Grupo,0,Índices,Volume de negócios,1989,103.5,130.3,133.9,89.9,161.5,169.1,178.9,95.6,145.9,151.3,164.5,104
Outros serviços,811,Actividades combinadas de apoio a gestão de edificios,Grupo,0,Índices,Volume de negócios,1989,131.4,157.8,121.3,122.1,146.3,105.9,176.5,170.2,152.6,87.8,141.7,138.6
Outros serviços,812,Actividades de limpeza ,Grupo,0,Índices,Volume de negócios,1989,107.9,138.4,129,147.9,177.2,162.3,175.6,151.8,155,177.3,157.9,137.9
Outros serviços,813,Actividades de plantação e manutenção de jardim,Grupo,0,Índices,Volume de negócios,1989,125.4,129.1,107.7,92.4,103,92.1,117.4,119.3,113.5,110.9,162.2,145.9
Outros serviços,821,Actividades de serviços administrativos e  de apoio ,Grupo,0,Índices,Volume de negócios,1989,155.3,102.5,84.3,144.3,100.3,157.8,144.3,132.3,80.5,131,98.9,148.4
Outros serviços,823,"Organização de feiras, congressos e outros eventos similares",Grupo,0,Índices,Volume de negócios,1989,84.3,167.4,147.3,116.9,150.7,130.7,126,165.1,161.6,81.7,126.8,125.2
Outros serviços,851,Educação pré-escolar e primário,Grupo,0,Índices,Volume de negócios,1989,120.3,178.6,86.2,139.6,113,174,96.6,102.7,126.8,149.1,85.2,148.6
Outros serviços,852,Ensino secundário,Grupo,0,Índices,Volume de negócios,1989,169.9,91.3,129.9,110.6,102.5,98.6,157.1,138.6,177,96,163.7,81.4
Outros serviços,853,Ensino superior (inclui ensino pos secundario não superior ),Grupo,0,Índices,Volume de negócios,1989,148.9,147.4,98.5,172.5,87.4,163.8,177.3,98.7,134.2,167.2,98,148.9
Outros serviços,854, outras actividades educativas,Grupo,0,Índices,Volume de negócios,1989,87.9,154.2,124.4,101,161.9,150.7,94.4,94.2,100.8,150.3,124.4,150.9
Outros serviços,855,Actividades de serviço de apoio a educação,Grupo,0,Índices,Volume de negócios,1989,133.5,128,178.8,132.7,99.5,134,82.3,149.1,145,104.9,125.6,143.4
Outros serviços,861,Actividades dos estabelecimentos de saude com internamento,Grupo,0,Índices,Volume de negócios,1989,130.3,94.9,177.2,167.9,142.5,179.7,178.7,101.7,123,146.4,95,123.9
Outros serviços,862,Actividades de pratica clínica em ambulatório e de medecina dentária e odontologia,Grupo,0,Índices,Volume de negócios,1989,130.7,150.2,171.7,146.2,144.2,171.8,174.4,165.3,131.5,104.5,176.2,122.6
Outros serviços,869,Outras  actividades de saude humana,Grupo,0,Índices,Volume de negócios,1989,85,177.7,81.6,108.2,122.3,102.7,100.3,166.6,169.5,127.6,172.1,164.5
Outros serviços,920,Lotarias e outros jogos de aposta,Grupo,0,Índices,Volume de negócios,1989,138.4,134.5,174.3,169.7,141.2,164.9,147.5,119.7,176,156.4,165,123
Outros serviços,931,Actividades desportivas,Grupo,0,Índices,Volume de negócios,1989,175.5,141.1,154.6,80,132.5,144.3,116.8,176.6,142.7,130.7,150.1,163.5
Outros serviços,932,Outras actividades de diversão e recreativas ,Grupo,0,Índices,Volume de negócios,1989,166.7,176.2,125.7,150.3,150.3,171.1,107.1,147.3,156.9,121.3,111.7,92.4
Outros serviços,951,Reparação  de computadores e equipamento de comunicações,Grupo,0,Índices,Volume de negócios,1989,151.4,94.9,89,167.6,151.7,136,177.1,169.9,81.2,120.8,141.4,103.4
Outros serviços,952,Reparação de bens de uso pessoal e doméstico,Grupo,0,Índices,Volume de negócios,1989,168.5,97.4,105.3,170.9,84.7,133.8,164.4,155.5,96.4,176.5,173.9,116.2
Outros serviços,960,Outras actividades de serviços pessoais,Grupo,0,Índices,Volume de negócios,1989,120.9,111.5,93.1,141,170.6,163.2,126.8,117.3,100.9,136.3,134.5,176.6
Transporte e armazenagem,491,Transporte  por caminhos - de- ferro,Grupo,0,Índices,Volume de negócios,1989,161.9,139.3,103.3,126.8,148.6,132.3,174.1,133.4,82.4,132,114.3,152.3
Transporte e armazenagem,492,Outros transportes terrestres  de passageiros,Grupo,0,Índices,Volume de negócios,1989,164.2,99.4,153.5,142.5,168.2,134.6,134.1,122.3,114.8,103.2,114.1,149.3
Transporte e armazenagem,493,Transportes por oleodutos e gasodutos (pipelines),Grupo,0,Índices,Volume de negócios,1989,111.6,144.5,157.5,102.4,145.2,163.5,146.1,81.7,97.7,107.8,97.5,122.8
Transporte e armazenagem,501,Transportes marítimos ,Grupo,0,Índices,Volume de negócios,1989,170.2,146.9,111.5,130.8,174.9,143.6,160.4,108.6,115.4,175.7,128.5,127.9
Transporte e armazenagem,511,Transportes aéreos de passageiros ,Grupo,0,Índices,Volume de negócios,1989,87,116.7,119.2,178.8,143.9,158.6,146.6,83.4,115.2,177.9,139.8,138.4
Transporte e armazenagem,521,Armazenagem,Grupo,0,Índices,Volume de negócios,1989,108.6,115.9,164,159.9,105.3,116.3,142.8,88.8,145.6,101.2,109.3,92.4
Transporte e armazenagem,522,Actividades auxiliares dos transportes ,Grupo,0,Índices,Volume de negócios,1989,123.3,89.5,88,96.1,87.5,87.6,134.4,122.6,176.6,130.2,87.9,171.5
Transporte e armazenagem,531,Actividades dos correios nacionais,Grupo,0,Índices,Volume de negócios,1989,116,87.9,102.1,107,159.2,95.4,127.6,129,152.5,155.3,122,83.5
Transporte e armazenagem,532,Actividades postais independentes dos correios nacionais,Grupo,0,Índices,Volume de negócios,1989,156.5,96.4,101,94.7,174.5,101.7,109.7,161.5,114.7,152.8,104.9,149.8
Comércio,G,Comércio por grosso e a retalho; reparação de veículos automóveis e motociclos ,Secção,0,Índices,Emprego,1989,108.4,157.9,91.9,116.1,166.8,142.8,132.4,169.6,124.6,100.2,142.9,125.6
Transporte e armazenagem,H,Transporte e armazenagem,Secção,0,Índices,Emprego,1989,95,89.2,120.8,86.9,129.7,164.2,160.6,116.2,99.1,123.7,98.8,142.9
Outros serviços,J,Actividadesde informação e de comunicação ,Secção,0,Índices,Emprego,1989,129.5,133.1,146.7,105.5,114.4,154.6,169.7,117.8,179,146.2,153.8,99.9
Outros serviços,K,Actividades financeiras e de seguros ,Secção,0,Índices,Emprego,1989,148.8,99.5,134,123.8,171.5,168,125.6,159.2,139.7,158.6,81.9,169.9
Outros serviços,L, Actividades imobiliárias,Secção,0,Índices,Emprego,1989,139.1,124.5,174.5,174,90.7,108.6,176.8,153.6,106.7,98.3,99,83.1
Outros serviços,M,"Actividades de consultoria, científicas, técnicas  e similares",Secção,0,Índices,Emprego,1989,123,142,174.1,96.8,162.9,125.3,93.4,162.5,143.2,168.1,137.2,133.2
Outros serviços,N,Actividades administrativas e dos serviços de apoio ,Secção,0,Índices,Emprego,1989,87.8,159.5,173.9,99.2,154.6,176.6,84.3,115.9,110.7,131.3,118.7,158.3
Outros serviços,P, Educação,Secção,0,Índices,Emprego,1989,135.8,142.2,151,138.3,123.9,166.9,129.8,150.4,178.2,178.2,170.1,104.4
Outros serviços,Q,Actividades de saúde humana e acção social,Secção,0,Índices,Emprego,1989,134.3,171.6,81.7,148.4,130.1,113.6,115.6,88.3,124.8,147.6,131.3,129.7
Outros serviços,R,"Actividades artísticas, especáculos, desportivos e recreativos ",Secção,0,Índices,Emprego,1989,133.6,118.2,117.8,158.2,130.5,158.3,163.6,99.7,105.2,152.8,132.9,114.6
Outros serviços,S,Outras actividades de serviços,Secção,0,Índices,Emprego,1989,163.4,140.3,161.3,163,151.7,129,156.8,108.1,172.7,174.3,92.2,105.5
Alojamento e restauração,I,"Alojamento,  restauração  e similares ",Secção,0,Índices,Emprego,1989,85.8,84.2,133.2,156.9,155,172.8,97.2,169.2,112.4,114.8,103.3,98.9
Alojamento e restauração,55,Alojamento,Divisão,0,Índices,Emprego,1989,141.2,133.6,107.1,158.6,169.7,175.1,99.2,93.8,170.8,146.4,166.2,107.4
Alojamento e restauração,56,Restauração e similares,Divisão,0,Índices,Emprego,1989,121.5,112.5,146.7,175.2,134.2,105.5,165.5,97.1,84.2,154.1,173.6,164.6
Transporte e armazenagem,49,Transporte terrestres ; transpote por oleodutos ou gasodutos ,Divisão,0,Índices,Emprego,1989,127.4,106,98.1,140,135.1,90.2,98.4,112.7,153.6,112.8,85,130.5
Transporte e armazenagem,50,Transporte por água ,Divisão,0,Índices,Emprego,1989,128.4,86.1,98.1,176.4,128.5,132.1,112.2,94.7,174.5,126.1,144.8,143
Transporte e armazenagem,51,Transportes aéreos ,Divisão,0,Índices,Emprego,1989,162.4,124.3,84.7,129.3,104.9,91.9,125.8,118.4,126.3,97.8,175.2,136.4
